,mean
VRNT,0.005015339895676292
DX,-0.001136601572182161
NPK,-0.00024663724363966586
BHRB,0.13145666811016984
WAFD,-0.005069145908383258
WTBA,-0.0011807657792221658
HLIO,0.01525817044796629
BCRX,0.024468366978108926
FBMS,-0.000634596060103973
FCEL,0.007823685961380921
MGEE,-0.001372002142676206
CNS,0.004355117688105494
AGYS,0.005587886223332657
CZFS,-0.0009970802470328755
WT,0.09224789690779171
UMBF,-0.000982187556577216
INVA,-0.0011359830193806444
CMTL,0.006388321180041218
SRI,0.004620901025546182
CCRN,-0.0030748006963415018
SSB,-0.0007940658497817971
CMT,0.011196495370893251
MRTN,0.003540301802709823
STRL,0.012126683590138151
BKH,-0.002599952111380494
HUBG,0.008375392342712614
ALRS,0.002246615978340106
ABM,-0.002454504429055006
ELME,-0.0053211187658634106
SMBK,-0.003508220003379081
EPAC,-0.003195632572630515
ENS,0.0016574664107746643
FL,0.0007603470711799454
CIVB,-0.005649552877790873
DAKT,-0.00027311094748642614
MGRC,0.0009526913528269874
STC,0.0028528819062996645
CNMD,0.0011475820850801973
EVBN,-0.0038009980051905237
AGX,0.0063880512470044426
BCO,0.0008849632516111631
AUB,-0.0010975355904454674
RUSHA,0.0041887533537798465
KRNY,-0.00716082893073588
EP,0.07673152303825154
UPBD,-0.0005743990807741702
CAKE,-0.003713523468696938
THS,-0.006781804677411598
SSD,0.0031942289985434154
LEU,0.005099844058245226
TCX,0.013112311663304892
TARO,-0.002986711100996751
FRPH,0.0010171604050759231
GDEN,0.010305881900768346
KFY,0.00444466396547736
CBRL,0.00042358373525442776
PCYO,0.011872126844768035
PLPC,0.0014382664175320212
OSPN,0.01156182275760759
HRTX,-0.002736750556375737
NHC,-0.0016636578000005886
MCRI,0.009786045710862354
WABC,-0.006133731792625732
PRAA,0.0026232704792733996
AWR,0.001152197704256407
GBCI,0.0020783866523789293
SPOK,-0.007949267743831147
BGC,-0.004300133436340194
GES,0.006992131293556625
RICK,0.014263708777186461
KRG,-0.006193190305144469
MTW,0.005051711017922361
VGR,0.003217054872522517
MYGN,-0.001631351607520122
SBGI,0.005290638857053635
FOSL,0.0019151859781466446
HP,0.000653776097121496
RCKY,0.007520501284730184
SNBR,0.025729709747759663
HURN,-0.002250240660601125
LXP,-0.0010123637599743968
NUS,0.005808425221551156
IESC,0.0019353231076820207
CENT,0.013038413298774719
FFIC,-0.002654450596938261
NOVT,0.0074255985512225176
TK,-0.007273890521468747
SKT,0.001987993788418387
CVBF,-0.0020481911361626684
ACIW,0.0025804637429015388
UBSI,-0.003739748381162396
FBP,-0.008796971347502425
ABR,0.010721402002794944
OVLY,-0.0034784761118015783
WW,-0.00020435659694772364
CATY,-0.0014061092632236003
GABC,-0.0013659559292390803
NBTB,-0.002418948905529406
WERN,-0.0023267411347362233
CRK,0.001986636797073579
ALE,-0.005847168733537374
LXU,0.013649803166177397
OFLX,0.004491050238901212
DORM,0.010277487318542474
NTGR,-0.0010285145246669832
THFF,-0.004049668542004914
CCNE,-0.001561268095156947
CIX,-0.0006019572903372049
OXM,0.007753962361764579
SYNA,0.015069549506622842
ASGN,0.00645422841253491
GTY,-0.0016339167593945733
CDZI,-0.011235839005326813
ANF,0.0007191828387846669
BHLB,-0.004741711489173923
PBH,-0.0018597871627501325
OCN,0.0015898174534667636
PFS,-0.004764786726704452
PRK,-0.0037112267247544862
HWC,-0.0008301275849305766
ONB,-0.006817486824100204
PBI,-0.008567199051994042
MLP,-0.00697362297825315
SITC,-0.004970581570247758
HZO,0.009266824585430404
MNRO,0.002938251293459787
BOH,-0.0020299433484352544
CEVA,0.00221306592576721
CRAI,0.000298399113899465
GTN,0.011168020883099879
MUR,0.0013096778539947718
TRST,-0.008307579567491
LGND,0.004478778526126244
SR,0.0023004023723835567
MAC,0.0035350995746975923
DY,0.005657381917144993
BDC,0.0006405031007721075
ATRO,0.007908626570462634
CTLP,0.004269444943098551
CFFI,-0.0018167718529432063
TSBK,-0.0007261704948675155
WMK,-0.00351331734723707
CHMG,-0.005203444670773355
BKE,0.006329244931417261
ODP,-0.0003610413101271396
ULH,-0.005531951707862356
CBT,-0.0024321284573267737
ATLC,0.018987333262139142
RELL,-0.003329414774737106
MLR,0.00447397928515584
TTMI,0.0015376630689968645
CVLY,-0.0026038190908089557
IMKTA,0.0037249938479558655
JOE,-0.004326364114670315
ARL,0.002782766437608991
COFS,-0.002254228278108171
OLP,0.0036743204042260624
MITK,0.02788055574254199
OSBC,-0.0018755188991750548
AMSWA,0.0059363692613340424
FBNC,-0.0004983514539131946
TCBI,0.0003974001905336445
GERN,0.006263199496191827
PNRG,0.006506323897175048
OPCH,0.0012295628887087787
FLIC,-0.0017514650427729842
PWOD,-0.004436676832093873
HALO,0.012034330419339882
THRM,0.01545095097504766
UIS,-0.0023890097495934135
INSM,0.01742998751960778
NEOG,0.007122093595501359
OTTR,-0.0021292825539868925
PPBI,0.005357754217930222
ELA,-0.31615822301930685
STAA,0.01921071316481773
PATK,0.017542763894029846
OSIS,-0.0004434901663932645
EQC,-0.004049680106811721
UHT,-0.0008531491120243036
TRN,0.00433825982833887
FSS,-0.0025986198311467607
IIIN,0.025047068524279025
BFH,0.0014326104779604416
SMP,0.004519111321108743
PAR,0.012237971745730847
VLY,-0.006642591232984205
SHEN,0.006496515180469112
SAFT,0.0008588724908660345
MNKD,-0.0003017242567618456
URBN,0.00422501817762801
NG,0.010640274583808736
HTBK,-0.0020438837497758857
STRS,0.0017823826500689263
MTX,-0.0030907242683722008
KELYA,-0.007086282740845039
PSMT,-0.0022807144914222545
RRGB,0.001980457948497254
FCF,-0.00438647617885867
TRMK,-0.005701696876422506
